Actor,Target,Time
1,2,7
1,3,16
1,4,103
1,5,144
1,6,160
1,7,351
1,5,381
1,3,411
1,8,421
1,9,527
1,10,942
1,11,951
1,12,1104
1,13,1154
1,14,1420
10,15,177
10,16,393
10,14,432
10,17,557
10,18,952
10,7,962
10,15,968
10,6,976
10,16,985
10,19,986
10,20,994
10,11,1007
10,11,1231
10,18,1350
21,22,306
21,22,313
21,23,750
21,24,963
21,25,1121
21,25,1147
21,22,1154
22,26,13
22,4,14
22,27,43
22,4,76
22,27,80
22,27,83
22,28,129
22,29,144
22,30,164
22,31,178
22,32,253
22,21,306
22,33,350
22,34,372
22,16,385
22,35,394
22,27,408
22,28,416
22,36,427
22,5,531
22,37,545
22,6,551
22,38,573
22,31,597
22,3,600
22,8,618
35,39,22
35,31,387
35,22,393
35,34,828
35,34,834
35,34,864
40,18,40
40,18,52
40,41,77
40,42,104
40,43,132
40,44,266
40,36,287
40,41,323
40,29,592
40,45,1041
40,17,1365
40,17,1382
40,17,1395
46,6,739
46,26,777
46,34,857
46,8,863
46,12,875
46,6,954
46,20,956
46,20,961
46,47,964
46,15,986
46,24,1007
46,47,1037
46,48,1040
46,47,1044
46,47,1062
46,22,1106
46,49,1115
46,43,1125
46,44,1132
46,5,1143
46,42,1149
46,15,1153
46,50,1156
46,24,1171
46,41,1185
46,38,1194
46,38,1204
46,12,1207
46,15,1235
46,10,1245
46,47,1309
46,48,1329
46,48,1349
18,51,8
18,52,35
18,40,38
18,29,42
18,52,63
18,29,67
18,40,73
18,29,78
18,15,93
18,13,106
18,13,109
18,53,155
18,49,168
18,30,245
18,12,268
18,6,272
18,31,281
18,6,293
18,50,309
18,19,320
18,54,361
18,37,362
18,14,380
18,38,397
18,38,408
18,31,435
18,54,469
18,24,489
18,6,508
18,55,519
18,34,559
18,7,663
18,50,861
18,14,869
18,50,920
18,40,1002
18,56,1032
18,56,1108
18,54,1141
18,56,1143
18,49,1365
18,16,1393
47,40,282
47,44,288
47,44,315
47,9,380
47,9,436
47,9,613
47,9,658
47,34,687
47,25,1255
47,39,1438
56,36,0
56,28,369
56,45,414
56,9,535
56,30,567
56,11,854
56,18,1108
56,36,1326
56,45,1348
56,36,1366
56,57,1395
30,36,386
30,9,425
30,18,517
30,56,561
30,44,595
30,15,730
30,56,778
30,24,934
30,22,1195
30,29,1214
30,49,1248
30,49,1257
24,43,388
24,37,978
24,50,1110
24,13,1138
24,4,1166
24,26,1168
24,46,1170
14,22,0
14,3,64
14,34,878
14,18,964
14,34,1024
14,34,1082
14,54,1128
14,57,1149
14,22,1323
14,57,1353
14,57,1406
57,37,336
57,56,425
57,34,458
57,47,492
57,15,509
57,15,526
57,14,549
57,12,607
57,1,957
57,39,1034
57,39,1050
57,1,1056
57,11,1076
57,11,1089
57,14,1149
57,26,1218
57,14,1353
57,24,1375
57,56,1396
57,14,1406
36,56,0
36,58,262
36,40,273
36,40,286
36,40,294
36,28,335
36,56,358
36,10,557
36,14,663
36,10,790
36,14,837
36,14,867
36,11,963
36,50,977
36,19,1234
36,56,1322
36,40,1395
36,26,1430
19,15,183
19,52,288
19,18,319
19,4,343
19,59,435
19,59,481
19,59,489
19,60,895
19,54,903
19,22,923
19,49,965
19,7,1227
19,38,1273
15,37,119
15,43,139
15,43,140
15,37,146
15,10,177
15,12,412
15,20,464
15,57,501
15,5,567
15,50,712
15,46,818
15,7,822
15,26,879
15,13,924
15,12,936
15,13,973
15,34,979
15,7,984
15,13,1120
15,51,1130
15,12,1250
15,61,1281
15,41,1323
15,9,1356
15,41,1374
15,13,1401
15,20,1407
6,26,0
6,11,75
6,18,292
6,24,404
6,13,536
6,22,554
6,37,570
6,62,574
6,5,620
6,11,663
6,47,687
6,23,703
6,30,724
6,46,736
6,46,739
6,26,772
6,46,787
6,46,799
6,46,821
6,34,955
6,11,985
6,23,1013
6,61,1034
6,38,1072
53,7,219
53,12,373
53,17,424
53,8,467
53,10,992
12,51,16
12,15,44
12,26,129
12,63,149
12,5,174
12,5,179
12,5,266
12,7,302
12,27,316
12,27,320
12,53,376
12,5,385
12,15,411
12,57,507
12,24,510
12,5,529
12,18,568
12,15,575
12,47,588
12,22,658
12,24,699
12,15,712
12,15,767
12,8,879
12,63,948
12,1,1146
12,22,1263
12,23,1336
12,45,1404
9,47,383
9,30,430
9,47,433
9,47,624
9,11,711
9,62,731
9,49,747
9,5,893
9,29,914
9,29,967
9,41,987
9,56,1069
9,56,1103
25,18,972
25,18,992
25,18,1016
25,30,1020
25,41,1022
25,49,1036
25,49,1045
25,21,1088
17,15,23
17,30,35
17,9,112
17,44,113
17,15,132
17,62,133
17,37,149
17,18,157
17,13,189
17,42,194
17,64,221
17,61,228
17,50,258
17,7,263
17,46,335
17,22,371
17,12,424
17,51,433
17,12,443
17,12,462
17,20,489
17,12,507
17,24,520
17,12,540
17,12,565
17,18,568
17,15,574
17,63,957
17,15,967
17,50,981
17,12,989
17,32,996
17,32,1003
17,8,1081
17,33,1130
17,20,1269
17,65,1346
26,4,357
26,15,879
26,15,894
26,4,1301
26,4,1344
26,4,1358
44,13,5
44,24,12
44,28,17
44,9,61
44,9,149
44,47,163
44,49,174
44,40,261
44,5,283
44,47,296
44,36,309
44,47,316
44,56,358
44,5,496
44,48,627
44,47,876
44,47,882
44,34,927
44,57,1008
44,16,1016
44,19,1027
44,25,1082
44,23,1088
44,26,1091
44,43,1286
44,29,1381
44,28,1408
44,30,1438
5,66,36
5,35,66
5,1,145
5,9,228
5,28,245
5,11,253
5,29,258
5,11,264
5,49,498
5,49,532
5,22,537
5,49,551
5,52,1062
5,43,1164
5,34,1172
5,49,1183
5,22,1210
5,62,1220
5,62,1253
20,7,9
20,7,62
20,23,167
20,47,212
20,24,364
20,15,378
20,51,385
20,24,389
20,47,404
20,47,609
20,22,624
20,8,655
20,8,690
20,26,711
20,8,785
20,34,818
20,57,831
20,15,855
20,51,903
20,57,918
20,51,1293
20,7,1401
50,63,89
50,18,309
50,13,430
50,31,495
50,15,714
50,13,747
50,14,814
50,22,833
50,18,867
