Actor,Target,Time
1,2,1186
1,2,1188
1,3,1190
1,2,1210
1,2,1277
1,4,1327
1,5,1390
1,6,1418
1,4,1431
1,7,1440
1,8,1446
1,6,1452
1,8,1457
1,9,1465
1,4,1480
1,5,1509
1,5,1864
1,10,1866
11,1,1
11,2,1251
12,4,288
12,1,315
12,11,353
12,6,398
12,6,428
12,9,441
12,13,455
12,14,478
12,15,493
12,4,506
12,6,517
12,16,689
12,9,822
12,4,842
12,13,904
12,17,968
12,2,975
12,10,996
12,17,1002
12,10,1007
12,2,1018
12,15,1023
12,18,1033
12,16,1045
12,19,1105
12,20,1110
12,18,1115
12,16,1129
12,6,1145
12,14,1222
12,4,1400
12,14,1427
12,21,1430
12,10,1442
12,22,1658
12,3,1683
12,15,1696
12,23,1852
2,24,68
2,24,180
2,5,181
2,24,345
2,24,511
2,24,552
2,10,573
2,3,600
2,25,610
2,22,610
2,17,634
2,26,635
2,25,636
2,16,644
2,25,649
2,16,652
2,3,654
2,27,750
2,14,754
2,7,793
2,24,828
2,1,870
2,10,883
2,24,885
2,17,968
2,9,1027
2,28,1091
2,17,1559
2,7,1562
2,6,1568
2,5,1616
2,17,1620
2,1,1620
2,8,1627
2,9,1634
2,17,1852
6,2,228
6,24,233
6,12,404
6,24,431
6,2,443
6,4,515
6,14,590
6,3,592
6,23,608
6,18,625
6,29,704
6,16,748
6,30,755
6,2,840
6,4,854
6,14,939
6,4,964
6,22,983
6,24,1132
6,17,1212
6,15,1499
6,16,1516
6,5,1524
6,2,1567
6,22,1660
24,2,75
24,2,187
24,5,209
24,5,223
24,2,226
24,6,235
24,2,249
24,2,545
24,10,570
24,10,653
24,10,898
24,22,1056
24,1,1204
24,29,1228
24,5,1244
24,6,1248
24,7,1259
24,6,1271
24,14,1287
24,23,1329
24,18,1326
24,16,1331
24,27,1341
24,6,1348
24,4,1365
24,1,1415
24,22,1440
24,5,1466
24,6,1468
24,7,1479
24,2,1742
24,9,1750
24,18,1751
24,1,1757
24,17,1759
5,24,223
5,22,241
5,30,247
5,30,444
5,10,474
5,4,508
5,4,522
5,30,698
5,2,793
5,30,820
5,6,909
5,15,920
5,1,989
5,11,990
5,28,1019
5,22,1034
5,22,1060
5,15,1084
5,22,1134
5,14,1146
5,6,1168
5,6,1304
5,14,1316
5,1,1365
5,8,1377
5,10,1427
5,6,1432
5,24,1490
5,6,1496
5,16,1518
5,10,1520
5,6,1532
5,23,1561
5,31,1583
5,7,1614
5,18,1621
5,27,1656
5,18,1739
5,3,1757
5,4,1762
5,1,1852
5,13,1884
9,6,557
9,3,1365
9,7,1365
9,1,1494
9,18,1834
27,18,196
27,7,229
27,18,326
27,16,351
27,7,463
27,16,565
27,3,687
27,25,755
27,15,986
27,6,1001
22,18,128
22,15,260
22,14,303
22,30,418
22,6,452
22,29,761
22,6,986
22,23,1000
22,17,1021
22,24,1059
22,8,1113
22,6,1136
22,23,1194
22,13,1206
22,5,1214
22,14,1224
22,20,1230
22,16,1271
22,23,1408
22,7,1525
22,6,1609
22,4,1654
22,6,1726
3,6,20
3,10,57
3,7,162
3,2,619
3,27,690
3,20,735
3,6,759
3,23,857
3,18,917
3,16,947
3,6,983
3,7,1148
3,28,1158
3,11,1217
3,2,1280
3,29,1315
3,28,1328
3,10,1374
3,17,1442
3,23,1533
3,25,1636
3,29,1866
14,13,239
14,12,475
14,15,507
14,8,522
14,4,570
14,13,759
14,6,775
14,6,1079
14,22,1088
14,5,1150
14,6,1160
14,18,1191
14,13,1218
14,23,1234
14,5,1312
14,6,1317
14,22,1452
18,27,240
18,7,331
18,16,337
18,27,353
18,4,448
18,6,627
18,28,732
18,25,767
18,31,779
18,23,814
18,6,983
18,16,1081
18,22,1162
18,4,1195
18,23,1273
18,31,1447
18,24,1463
18,3,1495
18,15,1614
18,24,1633
18,6,1661
18,1,1678
8,32,270
8,10,540
8,24,555
8,6,564
8,2,810
8,6,965
8,6,1116
8,29,1162
8,23,1251
8,6,1272
8,7,1445
8,29,1519
8,7,1551
8,17,1559
8,1,1578
8,10,1618
8,6,1629
8,13,1659
8,16,1671
8,21,1716
13,14,762
13,6,966
13,6,1099
13,5,1161
13,6,1460
13,6,1878
23,30,2
23,30,45
23,30,127
23,4,174
23,18,816
23,15,933
23,16,1046
23,18,1049
23,31,1057
23,6,1065
23,28,1256
23,31,1512
30,21,16
30,4,118
30,23,125
30,10,176
30,16,181
30,7,186
30,21,209
30,6,272
30,28,321
30,6,383
30,10,507
30,13,760
30,4,783
30,5,924
30,18,1000
30,6,1030
30,15,1049
30,22,1082
30,18,1178
30,32,1210
31,23,19
31,7,27
31,20,175
31,23,282
31,33,299
31,25,476
31,33,585
31,20,595
31,33,710
31,16,997
31,33,1006
31,25,1027
31,23,1160
31,19,1161
31,25,1163
31,27,1380
31,25,1389
31,23,1455
31,18,1467
31,20,1550
31,25,1609
7,20,5
7,31,25
7,23,29
7,18,38
7,10,48
7,21,51
7,16,54
7,3,74
7,16,103
7,8,158
7,3,162
7,27,227
7,16,317
7,6,551
7,8,651
7,30,654
7,16,668
7,29,671
7,14,708
7,21,716
7,30,717
7,16,735
7,12,755
7,10,896
7,24,910
7,29,925
7,28,1316
7,3,1326
7,9,1339
7,1,1426
7,6,1433
7,18,1481
7,5,1500
7,18,1517
7,22,1522
7,18,1532
7,6,1555
7,2,1580
7,17,1595
7,2,1602
7,6,1607
7,17,1623
7,30,1799
7,5,1813
7,29,1826
20,7,6
20,19,21
20,7,25
20,31,30
20,31,308
20,28,441
20,31,455
20,19,465
20,25,472
