Actor,Target,Time
1,2,1110
1,2,1124
1,2,1166
1,2,1281
1,3,1283
1,2,1318
1,2,1377
2,4,51
2,1,1110
2,1,1125
2,1,1170
2,3,1201
2,1,1335
2,1,1382
2,5,1425
4,2,2
4,5,5
4,1,33
4,3,90
4,3,121
4,1,1152
4,5,1324
5,2,5
5,6,90
5,3,95
5,3,106
5,6,299
5,3,428
5,6,433
5,6,442
5,6,457
5,6,475
5,3,527
5,6,576
5,3,1214
5,6,1244
5,3,1283
5,3,1297
5,3,1300
5,4,1310
5,1,1328
5,1,1343
5,3,1353
5,6,1375
5,3,1391
5,6,1397
5,6,1412
5,1,1420
5,2,1424
6,5,8
6,3,26
6,5,90
6,5,100
6,3,107
6,5,120
6,5,296
6,5,300
6,5,431
6,5,440
6,5,444
6,5,453
6,5,459
6,5,577
6,3,1227
6,3,1230
6,5,1244
6,3,1293
6,3,1323
6,3,1326
6,3,1350
6,3,1366
6,3,1380
6,3,1396
3,5,5
3,5,25
3,4,32
3,4,84
3,5,95
3,5,105
3,6,108
3,4,117
3,4,143
3,5,235
3,5,435
3,6,440
3,2,452
3,5,526
3,2,1200
3,2,1204
3,5,1214
3,6,1225
3,6,1230
3,6,1250
3,6,1271
3,6,1275
3,5,1282
3,6,1313
3,6,1322
3,6,1325
3,6,1327
3,6,1348
3,6,1365
3,5,1391
3,6,1395
