Actor,Target,Time
1,2,44
1,2,365
1,3,58
1,3,73
1,3,351
1,3,421
1,3,480
1,3,651
1,3,791
1,3,838
1,4,35
1,4,47
5,6,165
5,6,197
5,6,452
5,7,610
5,7,1102
5,8,852
5,2,1139
5,4,406
5,4,469
6,5,167
6,5,202
6,5,451
6,7,241
6,7,255
6,7,873
6,9,278
6,9,1008
6,4,523
6,4,529
7,5,12
7,5,36
7,5,141
7,5,248
7,5,609
7,5,636
7,6,244
7,6,256
7,6,870
7,10,749
7,10,846
7,4,439
11,4,304
11,4,317
8,5,843
8,5,970
8,3,129
8,4,270
2,1,365
2,8,1115
9,5,1033
9,6,278
9,6,1008
9,6,1047
3,1,183
3,1,314
3,1,472
3,1,650
3,1,835
3,8,118
3,8,125
3,8,275
3,2,158
10,5,710
10,6,775
10,7,749
10,9,515
4,1,38
4,5,406
4,5,470
4,6,523
4,6,531
4,7,448
4,11,301
4,11,316
4,8,83
4,8,269
